Time	PID	OldState	NewState
0	1001	NEW	READY
0	1001	READY	RUNNING
1	1002	NEW	READY
2	1003	NEW	READY
3	1004	NEW	READY
10	1001	RUNNING	WAITING
10	1002	READY	RUNNING
35	1002	RUNNING	WAITING
35	1003	READY	RUNNING
43	1003	RUNNING	WAITING
43	1004	READY	RUNNING
53	1004	RUNNING	WAITING
100	1005	NEW	READY
100	1005	READY	RUNNING
101	1006	NEW	READY
102	1007	NEW	READY
123	1005	RUNNING	WAITING
123	1006	READY	RUNNING
179	1006	RUNNING	WAITING
179	1007	READY	RUNNING
220	1007	RUNNING	WAITING
270	1001	WAITING	READY
270	1001	READY	RUNNING
279	1002	WAITING	READY
280	1001	RUNNING	WAITING
280	1002	READY	RUNNING
305	1002	RUNNING	WAITING
319	1003	WAITING	READY
319	1003	READY	RUNNING
321	1003	RUNNING	TERMINATED
1000	1008	NEW	READY
1000	1008	READY	RUNNING
1009	1008	RUNNING	WAITING
